FileName,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
calc.exe,332,56,376204,6,6,0,0,397312,11,0,5,262144,33088,381224,0,1
Camera.exe,332,56,500544,0,6,663408,139,499712,11,0,7,1048576,33216,377608,0,1
cmd.exe,332,56,151160,6,6,0,0,266240,11,0,5,1048576,33088,33872,0,1
dfrgui.exe,332,28,4128,6,6,0,0,86016,11,0,5,262144,33088,473840,0,1
explorer.exe,332,56,1121668,6,6,0,0,1138688,11,0,6,262144,32960,839096,0,1
FileManager.exe,332,56,24976,0,6,0,0,24576,11,0,7,1048576,33216,39120,0,1
mspaint.exe,332,56,592320,6,6,0,0,618496,11,0,5,262144,33088,5743728,0,1
msra.exe,332,28,4160,6,6,0,0,286720,11,0,5,262144,33088,214576,0,1
notepad.exe,332,56,90412,6,6,0,0,106496,11,0,5,262144,33088,105200,0,1
PhotosApp.exe,332,56,24976,0,6,0,0,24576,11,0,7,1048576,33216,298704,0,1
reg.exe,332,56,53164,6,6,0,0,323584,11,0,5,262144,33088,2024,0,1
regedit.exe,332,28,4128,6,6,0,0,372736,11,0,5,262144,33088,13456,0,1
setup_wm.exe,332,28,4192,6,6,0,0,278528,11,0,5,262144,33088,1505776,0,1
SnippingTool.exe,332,28,4160,6,6,0,0,184320,11,0,5,262144,33088,252400,0,1
StikyNot.exe,332,56,212272,6,6,0,0,217088,11,0,5,262144,33088,147992,0,1
TRACERT.EXE,332,28,4128,6,6,0,0,16384,11,0,5,262144,33088,2104,0,1
vds.exe,332,28,5120,6,6,509824,8941,524288,11,0,5,262144,33088,2528,0,1
